 ,PARTNERNR,last_name,first_name,TEL_PORTAL_MOBIL,EMAIL_PORTAL,GEB_D,GESCHLECHT,SPRACHE,STRASSE,HAUSNUMMER,PLZ,ORT,LAND,ZAHLUNGSPROFIL,ZAHLUNGSMITTEL_INKASSO ,ZAHLUNGSADRESSETYP_INKASSO,BANK_INKASSO,ZAHLUNGSMITTEL_EXKASSO,ZAHLUNGSADRESSETYP_EXKASSO,BANK_EXKASSO,GRUNDVERSICHERUNG_MODELL,PRODUKT,PRODUKT_PORTFOLIO,GESETZ,PRODUKTEPRÄMIE,GESAMTPRÄMIE,HAUSARZT,FRANCHISE
95372360,95372360,Simionato,Fiorino,41984340310,Fiorino.Simionato@mymail.com,8/17/1975,m,DE,Maihuserstrasse,30,5737,Menziken,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),,"HOSPITAL ECO,SANA,TOP,","HOSPITAL ECO,SANA,TOP,","VVG,VVG,VVG,","3.95,23.8,17.5,",45.25,  ,
95383668,95383668,Coutinho Franco,Daniel Steven,41981079725,Daniel.CoutinhoFranco@mymail.com,8/11/2002,m,DE,Am Kreuzliberg,7,5400,Baden,CH,H+,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Telemedizin,"COMPLETA,DENTAplus,HOSPITAL PLUS,Helsana Advocare EXTRA,PREVEA Krankheit,PREVEA Unfall,","Helsana BeneFit PLUS Telemedizin,COMPLETA,DENTAplus,HOSPITAL PLUS,Helsana Advocare EXTRA,PREVEA Krankheit,PREVEA Unfall,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","329.85,31.65,17.4,30.6,9.4,8.7,11.6,",439.2,  ,300
95383668,95383668,Coutinho Franco,Daniel Steven,41981079725,Daniel.CoutinhoFranco@mymail.com,8/11/2002,m,DE,Am Kreuzliberg,7,5400,Baden,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Telemedizin,"COMPLETA,DENTAplus,HOSPITAL PLUS,Helsana Advocare EXTRA,PREVEA Krankheit,PREVEA Unfall,","Helsana BeneFit PLUS Telemedizin,COMPLETA,DENTAplus,HOSPITAL PLUS,Helsana Advocare EXTRA,PREVEA Krankheit,PREVEA Unfall,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","329.85,31.65,17.4,30.6,9.4,8.7,11.6,",439.2,  ,300
95398639,95398639,Buri,Andre,,,11/23/1966,m,DE,Oerlifallstieg,10,8200,Schaffhausen,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"HOSPITAL FLEX,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL FLEX,SANA,TOP,","KVGO,VVG,VVG,VVG,","373.15,62.05,21.4,19.05,",475.65,A038014 Praxis Posthof AG ,1500
95398639,95398642,Buri,Ella,41986872470,Ella.Buri@mymail.com,7/22/1973,w,DE,Oerlifallstieg,10,8200,Schaffhausen,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"HOSPITAL FLEX,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL FLEX,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","459.95,80.9,10.95,28.2,19.3,",599.3,P038514 Hausärztezentrum Neunkirch AG ,500
95398639,95398643,Buri,Naiara,,,11/25/2006,w,DE,Oerlifallstieg,10,8200,Schaffhausen,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"DENTAplus,HOSPITAL FLEX,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,DENTAplus,HOSPITAL FLEX,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,","113.85,10.8,18.8,7.85,12.35,13.25,",176.9,P038514 Hausärztezentrum Neunkirch AG ,0
95398639,95398644,Buri,Claudia,,,1/12/2002,w,DE,Oerlifallstieg,10,8200,Schaffhausen,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"HOSPITAL FLEX,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL FLEX,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","349.45,24.95,9.95,15.4,13.95,",413.7,P038514 Hausärztezentrum Neunkirch AG ,300
95400229,95400229,Abdinasir,Rayan,41987262167,Rayan.Abdinasir@mymail.com,5/29/1978,m,DE,Oetwilerstrasse,42,8953,Dietikon,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"COMPLETA,HOSPITAL EXTRA,HOSPITAL PLUS,","Helsana BeneFit PLUS Hausarzt,COMPLETA,HOSPITAL EXTRA,HOSPITAL PLUS,","KVGO,VVG,VVG,VVG,","439.85,38.75,17.55,74.7,",570.85,B102119 Torbica Zdravka,300
95400229,95400230,Abdinasir,Esengül,,,11/21/1982,w,DE,Oetwilerstrasse,42,8953,Dietikon,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"COMPLETA,HOSPITAL EXTRA,HOSPITAL PLUS,","Helsana BeneFit PLUS Hausarzt,COMPLETA,HOSPITAL EXTRA,HOSPITAL PLUS,","KVGO,KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","473.35,39.85,14.85,97,",1250.1,B102119 Torbica Zdravka,300
95400229,100108964,Abdinasir,Linor,,,12/26/2018,m,DE,Oetwilerstrasse,42,8953,Dietikon,CH,,,,,,,,Helsana BASIS Standard,"COMPLETA,DENTAplus,HOSPITAL Halbprivat,Helsana Advocare EXTRA,","Helsana BASIS Standard,COMPLETA,DENTAplus,HOSPITAL Halbprivat,Helsana Advocare EXTRA,","KVGO,KVGO,VVG,VVG,VVG,VVG,VVG,VVG,VVG,VVG,","130.65,19.75,29.6,13.8,0,",387.6,  ,0
95400229,100110505,Abdinasir,Mario,,,6/25/2017,m,DE,Oetwilerstrasse,42,8953,Dietikon,CH,,,,,,,,Helsana BASIS Standard,"COMPLETA,DENTAplus,HOSPITAL EXTRA,HOSPITAL PLUS,Helsana Advocare EXTRA,","Helsana BASIS Standard,COMPLETA,DENTAplus,HOSPITAL EXTRA,HOSPITAL PLUS,Helsana Advocare EXTRA,","KVGO,KVGO,VVG,VVG,VVG,VVG,VVG,VVG,VVG,VVG,VVG,VVG,","130.65,19.75,29.6,9.45,8.9,0,",396.7,  ,0
95400229,101216637,Abdinasir,Gerti,,,5/1/2022,m,DE,Oetwilerstrasse,42,8953,Dietikon,CH,,,,,,,,Helsana BASIS Standard,"COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,","Helsana BASIS Standard,COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,","KVGO,VVG,VVG,VVG,VVG,","49.05,19.75,18.1,.9,0,",87.8,  ,0
95409766,95409766,Stranges,Aldo,,,7/6/1972,m,DE,Schleifrain,5,6247,Schötz,CH,Standardzahler,QR-Rechnung,,,ASR (Auszahlungsscheck),,,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","340.25,",340.25,L229103 Sanacare Gruppenpraxis Luzern-Löwencenter ,1000
95409766,95409766,Stranges,Aldo,,,7/6/1972,m,DE,Schleifrain,5,6247,Schötz,CH,Drittzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Luzerner Kantonalbank AG,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","340.25,",340.25,L229103 Sanacare Gruppenpraxis Luzern-Löwencenter ,1000
95433535,95433535,Fontana,Francesco,,,4/12/1944,m,DE,Friedensgasse,23,4056,Basel,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","571.65,",571.65,D182812 WestfeldPraxis AG ,300
95445662,95445662,Martinovic,Xaver Robert,,,8/31/1973,m,DE,Lehnrüttiweg,821,3076,Worb,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana PREMED-24,"HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","Helsana PREMED-24,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","358.75,4.3,13.3,23.8,18.5,",418.65,  ,2500
95582567,95582567,Memeti,Omer,41981979413,Omer.Memeti@mymail.com,3/19/1968,m,DE,Spitalstrasse,75,6004,Luzern,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"COMPLETA,DENTAplus,HOSPITAL PLUS,","Helsana BeneFit PLUS Hausarzt,COMPLETA,DENTAplus,HOSPITAL PLUS,","KVGO,VVG,VVG,VVG,","397.95,54.5,13.4,105.4,",571.25,C147803 Maihofpraxis,500
95582567,95582568,Biancolin,Lotti,,,7/6/1972,w,DE,Spitalstrasse,75,6004,Luzern,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"COMPLETA,DENTAplus,HOSPITAL PLUS,","Helsana BeneFit PLUS Hausarzt,COMPLETA,DENTAplus,HOSPITAL PLUS,","KVGO,VVG,VVG,VVG,","397.95,56.55,15.2,107.4,",577.1,C147803 Maihofpraxis,500
95582567,95582569,Brugnera,Carmela,,,2/25/2001,w,DE,Spitalstrasse,75,6004,Luzern,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"COMPLETA,DENTAplus,HOSPITAL PLUS,PREVEA Unfall,PRIMEO,","Helsana BeneFit PLUS Hausarzt,COMPLETA,DENTAplus,HOSPITAL PLUS,PREVEA Unfall,PRIMEO,","KVGO,VVG,VVG,VVG,VVG,VVG,","325.85,31.1,21.5,61.15,9.95,8.4,",457.95,C147803 Maihofpraxis,300
96030846,96030846,Byron,Matteo,41988180362,Matteo.Byron@mymail.com,7/8/1962,m,IT,In Premuscián,2,6702,Claro,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Banca dello Stato del Cantone Ticino,,"COMPLETA,DENTAplus,HOSPITAL ECO,SALARIA VVG,","COMPLETA,DENTAplus,HOSPITAL ECO,SALARIA VVG,","VVG,VVG,VVG,VVG,","74.65,13.95,12.8,28.35,",129.75,  ,
96030846,96030847,Malchow,Estelle,,,8/24/1966,w,IT,In Premuscián,2,6702,Claro,CH,,,,,,,,,"DENTAplus,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","DENTAplus,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","VVG,VVG,VVG,VVG,VVG,","15.85,10.1,16.45,28.2,28.35,",98.95,  ,
96030846,96030848,Malchow,Lorena,41987407110,Lorena.Malchow@mymail.com,10/23/1994,w,IT,In Premuscián,2,6702,Claro,CH,,,,,,,,,"COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,","COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,","VVG,VVG,VVG,VVG,VVG,","51.65,19.7,5.4,7.35,15.45,",99.55,  ,
96030846,96030849,Malchow,Holger,419810861252,Holger.Malchow@mymail.com,7/21/1996,m,IT,In Premuscián,2,6702,Claro,CH,,,,,,,,,"COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,","COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,","VVG,VVG,VVG,VVG,VVG,","41.8,16.55,5.4,7.35,18.6,",89.7,  ,
96039045,96039045,Morell,Anett,41985443987,Anett.Morell@mymail.com,3/16/1985,w,DE,Breitistrasse,3,8426,Lufingen,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","404.55,",404.55,B434631 Doktorhuus Praxis Lufingen ,500
96110834,96110834,Günther,Yvette,41983273521,Yvette.Guenther@mymail.com,12/11/1976,w,DE,Oerlifallstieg,10,8200,Schaffhausen,CH,H+,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Telemedizin,"HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Telemedizin,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","423.15,4.8,26.65,17.4,",472,  ,300
96110834,96110834,Günther,Yvette,41983273521,Yvette.Guenther@mymail.com,12/11/1976,w,DE,Oerlifallstieg,10,8200,Schaffhausen,CH,H+,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Telemedizin,"HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Telemedizin,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","423.15,4.8,26.65,17.4,",472,  ,300
96110834,96110834,Günther,Yvette,41983273521,Yvette.Guenther@mymail.com,12/11/1976,w,DE,Oerlifallstieg,10,8200,Schaffhausen,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Telemedizin,"HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Telemedizin,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","423.15,4.8,26.65,17.4,",472,  ,300
96110834,101019452,Günther,Bastian,,,4/19/1980,m,DE,Oerlifallstieg,10,8200,Schaffhausen,CH,,,,,,,,Helsana BeneFit PLUS Telemedizin,"HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Telemedizin,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","423.15,4.4,20.25,13.35,",461.15,  ,300
96114933,96114933,Sager,Bea,41988222056,Bea.Sager@mymail.com,2/26/1955,w,DE,Wingertweg,15,7000,Chur,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),,"HOSPITAL ECO,TOP,","HOSPITAL ECO,TOP,","VVG,VVG,","6.25,30.95,",37.2,  ,
96119982,96119982,Kostanyan,Mubashar,41984427679,Mubashar.Kostanyan@mymail.com,10/16/1950,m,DE,Brüggliweg,14,3312,Fraubrunnen,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BeneFit PLUS Hausarzt,"TOP,","Helsana BeneFit PLUS Hausarzt,TOP,","KVGO,VVG,","374.85,33.7,",408.55,P158102 Steck Peter,2500
96119982,96119983,Monti,Arianna,,,10/25/1953,w,DE,Brüggliweg,14,3312,Fraubrunnen,CH,H+,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"TOP,","Helsana BeneFit PLUS Hausarzt,TOP,","KVGO,VVG,","433.15,38.35,",471.5,G449102 Selz-Keller Katharina,1500
96179866,96179866,Kölliker,Thomas,41984703162,Thomas.Koelliker@mymail.com,11/21/1969,m,DE,Eggwis,26,9527,Niederhelfenschwil,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","360.15,7.25,22.6,17.55,",407.55,Z120917 Knopke Arnd,2000
96179866,96179927,Otto,Sila,,,11/7/1971,w,DE,Eggwis,26,9527,Niederhelfenschwil,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","416.75,7.25,29.8,20.4,",474.2,T287317 Gerbepraxis Oberuzwil AG ,1500
96188688,96188688,Baldo,Patrizia,41983773035,Patrizia.Baldo@mymail.com,4/7/1991,w,DE,Greifenseestrasse,4,8050,Zürich,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Telemedizin,"HOSPITAL PLUS,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Telemedizin,HOSPITAL PLUS,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,","347.25,96.55,9.8,9.95,29.15,16.5,",509.2,  ,2500
96227042,96227042,Häring,Lindita,41984181883,Lindita.Haering@mymail.com,4/7/1958,w,DE,Florastrasse,2A,8610,Uster,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","451.55,",451.55,P920101 Juzi Esther,300
96251315,96251315,Muratovic,Belkize,41988857678,Belkize.Muratovic@mymail.com,8/4/1967,w,DE,Schuel,219,8363,Bichelsee,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","456.55,10.05,26.65,20.8,",514.05,V094320 Praxis Rotes Haus AG ,300
96251315,100392896,Ameyaw,Baby,41982727681,Baby.Ameyaw@mymail.com,9/11/1970,m,DE,Schuel,219,8363,Bichelsee,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","424.25,",424.25,V094320 Praxis Rotes Haus AG ,300
96331722,96092361,Beil,Karl Heinz,,,4/8/2007,m,DE,Doldertal,30,8032,Zürich,CH,,,,,,,,Helsana BeneFit PLUS Telemedizin,"HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,TOP,","Helsana BeneFit PLUS Telemedizin,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,TOP,","KVGO,VVG,VVG,VVG,VVG,","121.45,1.6,0,5.6,11.3,",139.95,  ,0
96331722,96311409,Beil,Rosmarie,,,5/31/2009,w,DE,Doldertal,30,8032,Zürich,CH,,,,,,,,Helsana BeneFit PLUS Telemedizin,"HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,TOP,","Helsana BeneFit PLUS Telemedizin,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,TOP,","KVGO,VVG,VVG,VVG,VVG,","121.45,.85,0,3.35,11.3,",136.95,  ,0
96331722,96331722,Beil,Elsbeth,41984622705,Elsbeth.Beil@mymail.com,9/30/1973,w,DE,Doldertal,30,8032,Zürich,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Telemedizin,"COMPLETA,","Helsana BeneFit PLUS Telemedizin,COMPLETA,","KVGO,VVG,","347.25,52.45,",399.7,  ,2500
96331722,96572210,Beil,Inna,,,5/16/2015,w,DE,Doldertal,30,8032,Zürich,CH,,,,,,,,Helsana BeneFit PLUS Telemedizin,"HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,TOP,","Helsana BeneFit PLUS Telemedizin,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,TOP,","KVGO,VVG,VVG,VVG,VVG,","45.35,.85,0,3.35,11.3,",60.85,  ,0
96342902,96342902,Vorbeck,Bettina,,,7/25/1965,w,DE,Etzelstrasse,1,8600,Dübendorf,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BASIS Standard,"COMPLETA,HOSPITAL ECO,","Helsana BASIS Standard,COMPLETA,HOSPITAL ECO,","KVGO,VVG,VVG,","439.55,73.55,5.4,",518.5,  ,2000
96437804,96437804,Echandi Savricouty,Sandra,41985366273,Sandra.Echandi_Savricouty@mymail.com,2/7/1977,w,IT,Via Mezzaro,8C,6648,Minusio,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"COMPLETA,COMPLETA PLUS,DENTAplus,","Helsana BeneFit PLUS Hausarzt,COMPLETA,COMPLETA PLUS,DENTAplus,","KVGO,VVG,VVG,VVG,","380.15,66.1,45,16.2,",507.45,E215521 Sala Lisa,2500
96484471,96484471,Buraglio-Chypre,Lian,41989798527,Lian.Buraglio-Chypre@mymail.com,7/21/1974,m,DE,Haumesserstrasse,6,8038,Zürich,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BeneFit PLUS Telemedizin,"HOSPITAL PLUS,Helsana Advocare PLUS,PREVEA Unfall,TOP,","Helsana BeneFit PLUS Telemedizin,HOSPITAL PLUS,Helsana Advocare PLUS,PREVEA Unfall,TOP,","KVGO,VVG,VVG,VVG,VVG,","466.55,68.85,7.35,12.6,15.75,",571.1,  ,300
96484471,96484472,Buraglio-Chypre,Beatriz,,,12/6/1978,w,DE,Haumesserstrasse,6,8038,Zürich,CH,,,,,,,,Helsana BeneFit PLUS Telemedizin,"HOSPITAL PLUS,Helsana Advocare PLUS,PREVEA Unfall,TOP,","Helsana BeneFit PLUS Telemedizin,HOSPITAL PLUS,Helsana Advocare PLUS,PREVEA Unfall,TOP,","KVGO,VVG,VVG,VVG,VVG,","466.55,81.3,7.35,10.95,18.45,",584.6,  ,300
96484471,96484473,Buraglio-Chypre,Igor,,,4/18/2010,m,DE,Haumesserstrasse,6,8038,Zürich,CH,,,,,,,,Helsana BeneFit PLUS Telemedizin,"DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Telemedizin,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","121.45,8.9,.9,0,4.5,7.55,13.25,",156.55,  ,0
96484471,96491459,Buraglio-Chypre,Edoardo,,,3/10/2013,m,DE,Haumesserstrasse,6,8038,Zürich,CH,,,,,,,,Helsana BeneFit PLUS Telemedizin,"DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Telemedizin,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","121.45,8.9,.9,0,4.5,7.55,13.25,",156.55,  ,0
96508915,96508915,Bangerter,Martial,41985132853,Martial.Bangerter@mymail.com,1/8/1978,m,IT,Edenweg,3,9462,Montlingen,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Telemedizin,"HOSPITAL ECO,TOP,","Helsana BeneFit PLUS Telemedizin,HOSPITAL ECO,TOP,","KVGO,VVG,VVG,","276.15,4.7,13.1,",293.95,  ,2500
96508915,96508916,Bangerter,Karunuya,,,9/6/1977,w,IT,Edenweg,3,9462,Montlingen,CH,,,,,,,,Helsana BeneFit PLUS Telemedizin,"COMPLETA,HOSPITAL PLUS,","Helsana BeneFit PLUS Telemedizin,COMPLETA,HOSPITAL PLUS,","KVGO,VVG,VVG,","425.55,47.1,94.3,",566.95,  ,300
96508915,100793959,Bangerter,Alexander,,,6/13/2020,m,IT,Edenweg,3,9462,Montlingen,CH,,,,,,,,Helsana BeneFit PLUS Telemedizin,"COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,","Helsana BeneFit PLUS Telemedizin,COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,","KVGO,VVG,VVG,VVG,VVG,VVG,","102.25,19.8,10.35,1.35,0,4.5,",138.25,  ,0
96508915,100793960,Bangerter,Michael,,,6/13/2020,m,IT,Edenweg,3,9462,Montlingen,CH,,,,,,,,Helsana BeneFit PLUS Telemedizin,"COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,","Helsana BeneFit PLUS Telemedizin,COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,","KVGO,VVG,VVG,VVG,VVG,VVG,","102.25,19.8,10.35,1.35,0,4.5,",138.25,  ,0
96513971,96513971,Hell,Richard,41986445542,Richard.Hell@mymail.com,5/23/1968,m,IT,Cará,9,6593,Cadenazzo,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BeneFit PLUS Hausarzt,"COMPLETA,HOSPITAL ECO,PREVEA Unfall,","Helsana BeneFit PLUS Hausarzt,COMPLETA,HOSPITAL ECO,PREVEA Unfall,","KVGO,VVG,VVG,VVG,","499.55,66.3,10.65,13.3,",589.8,R184121 Cerutti Alessandra,300
96513971,100510399,Hell,Christophe,,,3/30/2019,m,IT,Cará,9,6593,Cadenazzo,CH,,,,,,,,Helsana BASIS Standard,"COMPLETA,DENTAplus,HOSPITAL Privat,Helsana Advocare EXTRA,PREVEA Krankheit,PREVEA Unfall,PRIMEO,","Helsana BASIS Standard,COMPLETA,DENTAplus,HOSPITAL Privat,Helsana Advocare EXTRA,PREVEA Krankheit,PREVEA Unfall,PRIMEO,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,VVG,","158.15,27.25,13.75,12.95,0,4.3,4.5,5.45,",226.35,  ,0
96540096,96540096,Stocker,Arthur,,,7/12/1949,m,FR,Rue du Marais,3,2400,Le Locle,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"CURA,HOSPITAL ECO,SANA,TOP,VARIA,","Helsana BeneFit PLUS Hausarzt,CURA,HOSPITAL ECO,SANA,TOP,VARIA,","KVGO,VVG,VVG,VVG,VVG,VVG,","532.95,14.5,9.3,23.8,35.45,5,",621,S068924 Hablützel Louise,500
